state,x,y
Alabama,139,-77
Alaska,-204,-170
Arizona,-203,-40
Arkansas,57,-53
California,-297,13
Colorado,-112,20
Connecticut,297,96
Delaware,275,42
Florida,220,-135
Georgia,182,-75
Hawaii,-317,-143
Idaho,-210,118
Illinois,95,37
Indiana,137,39
Iowa,38,65
Kansas,-17,5
Kentucky,155,-7
Louisiana,70,-130
Maine,324,164
Maryland,288,27
Massachusetts,312,107
Michigan,148,101
Minnesota,30,135
Mississippi,94,-78
Missouri,55,6
Montana,-141,150
Nebraska,-40,55
Nevada,-257,50
New Hampshire,330,127
New Jersey,282,65
New Mexico,-128,-43
New York,255,104
North Carolina,239,-22
North Dakota,-40,158
Ohio,176,52
Oklahoma,-8,-41
Oregon,-278,138
Pennsylvania,238,72
Rhode Island,328,85
South Carolina,218,-51
South Dakota,-40,109
Tennessee,131,-34
Texas,-38,-106
Utah,-189,34
Vermont,280,135
Virginia,240,12
Washington,-257,190
West Virginia,200,20
Wisconsin,84,113
Wyoming,-130,90
